name,date,degree,score_OVERALL UNIVERSITY RATING,OVERALL UNIVERSITY RATING,score_Job Prospects,Job Prospects,score_Course and Lecturers,Course and Lecturers,score_Uni Facilities,Uni Facilities,score_Student Support,Student Support,score_Do you think your time at university this year has been value for money?,Do you think your time at university this year has been value for money?,score_Students' Union,Students' Union,score_Accommodation,Accommodation,score_Local life,Local life,score_Societies and Sports,Societies and Sports
Rose,26 May 21,Sociology MA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'Given the circumstances, I would say I have had a great experience in my first year. I lived in halls which meant I was able to meet some people and be involved in the Edinburgh community. I think the university’s ability to teach online also increased throughout the year. In semester 1 it was quite disappointing and there were a lot of problems across all 3 of my courses, but by semester 2 this has massively improved and I felt I was benefiting from good quality teaching'}",rat3,,rat4,{'How many contact hours per week do you have?': '3'},rat4,"{""How good are your university's facilities?"": 'I didn’t have much access to them, but the library spaces were all great. They adapted well to COVID and turned a lot of classroom buildings into extra library space which could all be booked through an app'}",rat2,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'I was very lucky to have a great personal tutor/academic advisor who was super helpful. I worked with the student counselling service in semester one and they were not great, the counsellor made me feel uncomfortable and the wait times were bad. I also caught covid in this time so had to reschedule some appts which was hard to do'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
daniel,26 May 21,Fine Art MA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'Without being able to use facilities in person, and with technical hikups and poor planning especially at the start of the year (the first few weeks of semester one, tutors seemed to be making it up as they whent along, with projects being incredibly poorly planned) - although tutor support improved towards the end of semester one, it boils down to this. Should a student be relatively self motivated - their was nothing that UoE or ECA provided that the student could not have done themselves (on the fine art course). Art History was much better, with pre-recorded lectures and tutorials being easily accessible and effective as learning tools. A mixed experience.'}",rat2,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': ""Only in the first year of a five year degree, so No Comment really, we've had guest speakers in and a little info if you ask tutors but that's all do far""}",rat4,{'How many contact hours per week do you have?': '3'},rat2,"{""How good are your university's facilities?"": 'The facilities themselves seemed very adequate, and had plenty of equipment for students to make use of, however accessibility was a huge issue.'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': ""I don't feel like I can comment particularly on this. We constantly recurved mental health check-up emails, and acsess to disability services was pretty easy - although I'm aware that some people where not made aware of what support was actually available to them.""}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Sumaya,26 May 21,Film and Television BA (Hons),rat2,"{'Tell us about your overall university experience so far.': 'Due to the limitations of covid being the only experience of university, I don’t doubt that my answers are effected drastically. In all honesty, I’ve managed to scrape passes and do the bare minimum. The support systems from the university , or lack thereof, have been few and far between. The course content has been good and I’ve enjoyed the writing. Practical bits and bobs have obviously been almost impossible'}",rat3,,rat2,,rat2,"{""How good are your university's facilities?"": 'I started in second year so have not had the opportunity to fully utilise the resources due to covid'}",rat1,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Ciar,26 May 21,Philosophy and Politics MA (Hons),rat4,{'Tell us about your overall university experience so far.': 'I am still glad I started studying this year regardless of it being online. I have still met some great people through staying at university accomodation and would not trade tha.'},rat4,,rat3,"{'What do you like most and least about the way your course(s) are taught?': 'Fully online. 1 hour tutor session per week, per subject run online along with pre recorded lectures for subject'}",rat4,,rat4,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Sophie,26 May 21,Classics MA (Hons),rat4,"{'Tell us about your overall university experience so far.': ""Didn't love COVID but love my uni. My professors were excellent and passionate, always there to help. They have been really supportive this year during the pandemic.""}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': ""Loads of careers fairs so far and I'm only in year one""}",rat4,{'How many contact hours per week do you have?': '10'},rat5,"{""How good are your university's facilities?"": 'Good gym and library and good access to online resources'}",rat5,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Gemma,26 May 21,Social Work BSc (Hons),rat3,{'Tell us about your overall university experience so far.': 'During lockdown I feel the standard of learning has dropped significantly. It is difficult to get good marks as nearly no classes are attendance based therefore you don’t even need to show up. If more classes were more interactive then my learning experience would have been a lot better.'},rat3,,rat4,{'What do you like most and least about the way your course(s) are taught?': 'Currently fully online'},rat5,"{""How good are your university's facilities?"": 'Facilities are great, just wish there was more spaces for individual study'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Mental health support is alright but it’s difficult during the pandemic as there isn’t much help available that isn’t through zoom'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Gertie,25 May 21,Veterinary Medicine BVMS,rat5,{'Tell us about your overall university experience so far.': 'Fantastic . I loved almost every second of it. No regrets . If come back here time and time again. I pinch myself at how lucky I am to have had this incredible opportunity to learn on this course in this university. We are taught to a remarkably high standard. Very grateful'},rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'I could walk into 500 hundred jobs. It’s amazing. And there are good career services'}",rat5,"{'What do you like most and least about the way your course(s) are taught?': 'Lots of contact hours. Lots of really incredible practical classes. Clinicians really want to teach and are very kind. You are very anonymous up until final year (even then...) there is mostly very bog group teaching, so it really isn’t until clinical rotations in the hospital that you get one on one time with clinicians'}",rat5,"{""How good are your university's facilities?"": 'Unbelievable facilities. The models used for us to practice clinical skills on are seriously pricey. No expense is spared. And there are so many kind owners who donate their deceased pets’ bodies for our clinica teaching. There are amazing resources at our disposal throughout the degree'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'It’s alright. I think mental health support could be better. And it has gotten better since I started out. Luckily I have never had to use such facilities but I really don’t think they really understand or fully respect young people’s problems'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Hannah,25 May 21,Biomedical Sciences BSc (Hons),rat4,"{'Tell us about your overall university experience so far.': 'Considering the circumstances I have enjoyed my year at University. It has caused my curiosity for science to grow and we have covered a large range of topics, many of which were informative and interesting. There are many enthusiastic lecturers who make learning fun. I have become good friends with my flatmates and also managed to meet a few people from my course too through group work and personal tutor. I look forward to a more conventional university experience in years to come and am excited to learn more about biomedical science.'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'We have been contacted regularly by the careers service and hopefully this is something that will be easier to be involved in once in-person sessions can resume. We had a couple of guest speakers and interesting debates that were outwith the course requirements but related to the current science world.'}",rat4,{'How many contact hours per week do you have?': '3'},rat4,"{""How good are your university's facilities?"": 'Although I only lived in halls for 3 months, I had a positive experience. The room I was assigned to was spacious and had all the furniture I needed. The communal kitchen was on the small side for 5 people and we ran into some difficulties as we only had one small fridge freezer between us and no couch, so any socialising had to be done around the kitchen table. The cleaning service was good and if we needed repairs in the flat, someone would be sent quickly.'}",rat2,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': ""The tutorial groups were great as they allowed us to create a bond with the tutor, which was nice as we had no in-person teaching. Some course organisers were better than others at providing mental health support, although on a university level I am unsure of the services available to me. I think this is something that could be advertised more within the university as it could help more people if it was made more accessible. I can't comment on the disability support as this does not apply to me.""}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
katie,25 May 21,Geography MA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'Although content given is of a very high standard, the overall mental health support is very poor. Students are left to fend for themselves with counselling waitlists often 2 months long.'}",rat2,,rat4,{'How many contact hours per week do you have?': '9'},rat4,,rat2,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Nya,25 May 21,Scottish Literature and Classics MA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'My overall experience:\nUofE has provided excellent mental health support, but they could be doing so much more to ensure classes are face to face. Accommodation prices should have been slashed long ago, as well as tuition fees for most people. Instead of spending money on useless outdoor temporary buildings they should be supporting their students in their educational journey.'}",rat5,,rat4,{'How many contact hours per week do you have?': '8'},rat5,,rat5,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
