score_OVERALL UNIVERSITY RATING,score_Job Prospects,score_Course and Lecturers,score_Uni Facilities,score_Student Support,score_Do you think your time at university this year has been value for money?,score_Students' Union,score_Accommodation,score_Local life,score_Societies and Sports,name,date,degree,reviews
rat4,rat4,rat4,rat4,rat5,ratY,,,,,Pranav,26 May 21,Law BA (Hons)," I felt that the law faculty could have done a bit more to make students feel like their interests are important. Many students expected the faculty to try and arrange for online social events, but no such efforts were taken. 
Online classes came no where close to how amazing in-person classes are for learning. It would have been appreciated if the University did not try to exaggerate in their advertisements about their efforts in trying to ensure a quality of education through the online mode. 200 Yes"
rat4,rat5,rat4,rat5,rat4,ratN,,,,,Peter,26 May 21,French and German BA (Hons), My overall experience at Oxford has been overwhelmingly positive - having the opportunity to benefit from world-class facilities and high-quality academics at my fingertips is something for which I will be forever grateful. I am excited to pursue a enriching linguistic career upon graduation! 12 No
rat4,rat5,rat5,rat5,rat4,ratN,,,,,Jena,24 May 21,German and Czech (with Slovak) BA (Hons)," This year has been really nice in terms of getting used to the Oxford workload. While covid has limited the social side of things it has given me the time to adjust to work. This term the social side has come back and I feel well equipped to balance everything. My tutors have been really good at supporting me and my tute group through this tricky year. They've all been very understanding and accomodating to my mental health needs. Although my tutors have clearly done their best, online learning hasn't been as good as in-person. I feel that there are still significant insecurities in my knowledge due to the open-book nature of our exams and teaching. Constant emails and resources. 13 Could do with longer-term counselling provisions No"
rat4,rat5,rat4,rat5,rat3,ratY,,,,,Samuel,13 Apr 21,Music DPhil," Considering the significant barriers to socialising and general life at University, I think the experience I have had this academic year has been really quite good. The university has, on the whole, managed the situation quite well - but my college (Queen’s) has adopted a particularly good stance which has enabled adherence to the government guidelines, whilst allowing the junior members to enjoy the experience as much as possible. The contact I have with my supervisor is very good, and other members of academic staff are usually very receptive and responsive to emails The facilities, both in terms of outfitting and breadth of choice, are second to none. Support is good, but the waiting lists/bureaucracy is often quite long, so it can be difficult to get immediate support Yes"
rat5,rat5,rat5,rat5,rat5,ratY,,,,,Eugene,12 Apr 21,Applied Theology MTh," The college and university have tried their best to make sure that the quality of education wasn't diminished this year because of COVID-19. This year being my dissertation year, with more emphasis on self-study and research instead of lots of contact hours with tutors, made it so that I didn't feel the impact as much as I might have in a different course. My supervisors this year have been excellent, so even though I didn't have a lot of contact hours, each tutorial session I had with them allowed me to hone my research further and further. If you know what you want out of the course and what area you want to go into going forward, this is a really great course. The freedom in the range of topics you can pick for your papers really allows you to tailor the course to your specific needs. That being said, if you don't know, it might be better to choose a course with a more specific scope. I knew what I wanted to study and my future goals going into the course, and so I got a lot out of exploring theology from the lens of that area, but for someone with a less clear vision it may be harder to do that. Lectures can be hit or miss depending on if they are relevant to what you are studying, but it's worth it to listen to see if there are any interesting ideas you can write about in your paper. The most important people are the supervisors for your papers. If you get really good supervisors, you'll be challenged and stretched to go beyond your own assumptions and views about theology in order to craft a really good paper. Yes"
rat5,rat5,rat5,rat5,rat5,ratY,,,,,Student Reviewer,21 Mar 21,Integrated Immunology MSc," Although COVID made things inconvenient for everyone, my course was still really enjoyable with great support from the coordinators ensuring that all our needs are met. Challenging but fruitful year! Career portals with useful information is easily available. We have face to face teachings at the beginning, but COVID lockdown and restrictions resulted the course to be conducted online. Friendly and helpful team, college has great facilities Emails are sent almost weekly to provide support for mental health and other related services. Yes"
rat4,rat5,rat5,rat4,rat5,ratY,,,,,Issy,19 Mar 21,Japanese BA (Hons)," Obviously not being on campus last term was not ideal, and online learning has had its challenges, but overall I’ve really enjoyed my course so far and felt supported by the university. There are a number of schemes in place to help with finding internships and jobs, as well as regular guest speakers and career support. 10 Vary between accommodation blocks but overall not bad. Have access to a kitchenette, shared bathrooms, etc. The support is definitely there if you need it and the welfare team is great. Yes"
rat4,rat4,rat5,rat5,rat3,,rat2,rat4,rat5,rat4,Gabriel,24 Jan 20,Mathematics MMath," Accommodation, location, teaching, facilities all of a very high standard. Life can be quite intense and sometimes overwhelmingly busy at points though. 15 Most tutors excellent academically; personal support a bit lacking. SU largely irrelevant to student life Very good, very attractive buildings and fairly well maintained a bit expensive though Huge range, not necessarily time to commit to more than a couple though."
rat4,rat4,rat4,rat4,rat3,,rat4,rat4,rat5,rat5,Rhys,24 Jan 20,Mathematics MMath," Overall very happy, just things here and there to be improved. Decent amount of career events available to attend 10 Very good all round Mental health help can be lacking. Generally good, but don't hear much about them Accommodation can need a cost of maintenance but issues are quickly fixed Extremely central location Pretty much any sport, society is available"
rat4,rat5,rat3,rat4,rat4,,rat2,rat5,rat5,rat5,Jenny,24 Jan 20,Mathematics MMath," 10 Mostly really great and lots of renovations always improve things Lots of personal support offered, and college academic support is great, but university/department tutors are less so. Colleges pay way too much to the SU for not much return. Personally, have never attended any SU events and don't know what it does. Don't know anyone involved or who has been to anything they've run. Good LGBTQ+ support though. Very central and good accommodation convenient to have college provided rooms for the whole degree length Heaps of different options + always able to star something new both in college and in the uni."
