score_OVERALL UNIVERSITY RATING,score_Job Prospects,score_Course and Lecturers,score_Uni Facilities,score_Student Support,score_Do you think your time at university this year has been value for money?,score_Students' Union,score_Accommodation,score_Local life,score_Societies and Sports,name,date,degree,reviews,reviews_lem,reviews_lem_short,University
4.0,4.0,4.0,4.0,5.0,1.0,,,,,Pranav,26 May 21,Law BA (Hons)," I felt that the law faculty could have done a bit more to make students feel like their interests are important. Many students expected the faculty to try and arrange for online social events, but no such efforts were taken. 
Online classes came no where close to how amazing in-person classes are for learning. It would have been appreciated if the University did not try to exaggerate in their advertisements about their efforts in trying to ensure a quality of education through the online mode. 200 Yes",felt law faculty do bit make student feel interest important many student expect faculty try arrange online social event effort take online class come close amazing in-person class learn appreciate university try exaggerate advertisement effort try ensure quality education online mode yes,law faculty bit student interest important many student faculty online social event effort online class amazing in-person class university advertisement effort quality education online mode yes,oxford
4.0,5.0,4.0,5.0,4.0,0.0,,,,,Peter,26 May 21,French and German BA (Hons), My overall experience at Oxford has been overwhelmingly positive - having the opportunity to benefit from world-class facilities and high-quality academics at my fingertips is something for which I will be forever grateful. I am excited to pursue a enriching linguistic career upon graduation! 12 No,overall experience oxford overwhelmingly positive opportunity benefit world-class facility high-quality academic fingertip something forever grateful excite pursue enriching linguistic career graduation,overall experience oxford positive opportunity world-class facility high-quality academic fingertip something grateful enriching linguistic career graduation,oxford
4.0,5.0,5.0,5.0,4.0,0.0,,,,,Jena,24 May 21,German and Czech (with Slovak) BA (Hons)," This year has been really nice in terms of getting used to the Oxford workload. While covid has limited the social side of things it has given me the time to adjust to work. This term the social side has come back and I feel well equipped to balance everything. My tutors have been really good at supporting me and my tute group through this tricky year. They've all been very understanding and accomodating to my mental health needs. Although my tutors have clearly done their best, online learning hasn't been as good as in-person. I feel that there are still significant insecurities in my knowledge due to the open-book nature of our exams and teaching. Constant emails and resources. 13 Could do with longer-term counselling provisions No",year really nice term get use oxford workload covid limit social side thing give time adjust work term social side come back feel well equip balance everything tutor really good support tute group tricky year 've understanding accomodating mental health need tutor clearly do best online learning n't good in-person feel still significant insecurity knowledge due open-book nature exam teach constant email resource longer-term counsel provision,year nice term oxford workload covid social side thing time term social side everything tutor good tute group tricky year understanding mental health need tutor best online learning good in-person significant insecurity knowledge due open-book nature exam constant email resource longer-term provision,oxford
4.0,5.0,4.0,5.0,3.0,1.0,,,,,Samuel,13 Apr 21,Music DPhil," Considering the significant barriers to socialising and general life at University, I think the experience I have had this academic year has been really quite good. The university has, on the whole, managed the situation quite well - but my college (Queen’s) has adopted a particularly good stance which has enabled adherence to the government guidelines, whilst allowing the junior members to enjoy the experience as much as possible. The contact I have with my supervisor is very good, and other members of academic staff are usually very receptive and responsive to emails The facilities, both in terms of outfitting and breadth of choice, are second to none. Support is good, but the waiting lists/bureaucracy is often quite long, so it can be difficult to get immediate support Yes",consider significant barrier socialise general life university think experience academic year really quite good university whole manage situation quite well college queen ’ adopt particularly good stance enable adherence government guideline whilst allow junior member enjoy experience much possible contact supervisor good member academic staff usually receptive responsive email facility term outfit breadth choice second none support good wait lists/bureaucracy often quite long difficult get immediate support yes,significant barrier general life university experience academic year good university whole situation college queen ’ good stance adherence government guideline whilst junior member experience possible contact supervisor good member academic staff receptive responsive facility term breadth choice second none support good lists/bureaucracy difficult immediate support yes,oxford
5.0,5.0,5.0,5.0,5.0,1.0,,,,,Eugene,12 Apr 21,Applied Theology MTh," The college and university have tried their best to make sure that the quality of education wasn't diminished this year because of COVID-19. This year being my dissertation year, with more emphasis on self-study and research instead of lots of contact hours with tutors, made it so that I didn't feel the impact as much as I might have in a different course. My supervisors this year have been excellent, so even though I didn't have a lot of contact hours, each tutorial session I had with them allowed me to hone my research further and further. If you know what you want out of the course and what area you want to go into going forward, this is a really great course. The freedom in the range of topics you can pick for your papers really allows you to tailor the course to your specific needs. That being said, if you don't know, it might be better to choose a course with a more specific scope. I knew what I wanted to study and my future goals going into the course, and so I got a lot out of exploring theology from the lens of that area, but for someone with a less clear vision it may be harder to do that. Lectures can be hit or miss depending on if they are relevant to what you are studying, but it's worth it to listen to see if there are any interesting ideas you can write about in your paper. The most important people are the supervisors for your papers. If you get really good supervisors, you'll be challenged and stretched to go beyond your own assumptions and views about theology in order to craft a really good paper. Yes",college university try best make sure quality education n't diminish year covid-19 year dissertation year emphasis self-study research instead lot contact hour tutor make n't feel impact much different course supervisor year excellent even n't lot contact hour tutorial session allow hone research know want course area want go go forward really great course freedom range topic pick paper really allow tailor course specific need say n't know good choose course specific scope know want study future goal go course get lot explore theology lens area someone less clear vision hard lecture hit miss depend relevant study 's worth listen see interesting idea write paper important people supervisor paper get really good supervisor challenge stretch go assumption view theology order craft really good paper,college university best sure quality education year covid-19 year dissertation year emphasis self-study research lot contact hour tutor impact much different course supervisor year excellent lot contact hour tutorial session research course area great course freedom range topic paper course specific need good course specific scope future goal course lot theology lens area someone clear vision hard lecture miss relevant worth interesting idea paper important people supervisor paper good supervisor assumption view theology order good paper,oxford
5.0,5.0,5.0,5.0,5.0,1.0,,,,,Student Reviewer,21 Mar 21,Integrated Immunology MSc," Although COVID made things inconvenient for everyone, my course was still really enjoyable with great support from the coordinators ensuring that all our needs are met. Challenging but fruitful year! Career portals with useful information is easily available. We have face to face teachings at the beginning, but COVID lockdown and restrictions resulted the course to be conducted online. Friendly and helpful team, college has great facilities Emails are sent almost weekly to provide support for mental health and other related services. Yes",covid make thing inconvenient everyone course still really enjoyable great support coordinator ensure need meet challenge fruitful year career portal useful information easily available face face teaching beginning covid lockdown restriction result course conduct online friendly helpful team college great facility email send almost weekly provide support mental health related service yes,covid thing inconvenient everyone course enjoyable great support coordinator need fruitful year career portal useful information available teaching beginning covid lockdown restriction course online friendly helpful team college great facility email weekly support mental health related service,oxford
4.0,5.0,5.0,4.0,5.0,1.0,,,,,Issy,19 Mar 21,Japanese BA (Hons)," Obviously not being on campus last term was not ideal, and online learning has had its challenges, but overall I’ve really enjoyed my course so far and felt supported by the university. There are a number of schemes in place to help with finding internships and jobs, as well as regular guest speakers and career support. 10 Vary between accommodation blocks but overall not bad. Have access to a kitchenette, shared bathrooms, etc. The support is definitely there if you need it and the welfare team is great. Yes",obviously campus last term ideal online learning challenge overall ’ really enjoy course far felt support university number scheme place help find internship job well regular guest speaker career support vary accommodation block overall bad access kitchenette share bathroom support definitely need welfare team great yes,campus last term ideal online learning challenge overall course university number scheme place internship job regular guest speaker career support vary accommodation block overall bad access kitchenette bathroom support welfare team great,oxford
4.0,4.0,5.0,5.0,3.0,,2.0,4.0,5.0,4.0,Gabriel,24 Jan 20,Mathematics MMath," Accommodation, location, teaching, facilities all of a very high standard. Life can be quite intense and sometimes overwhelmingly busy at points though. 15 Most tutors excellent academically; personal support a bit lacking. SU largely irrelevant to student life Very good, very attractive buildings and fairly well maintained a bit expensive though Huge range, not necessarily time to commit to more than a couple though.",accommodation location teaching facility high standard quite intense sometimes overwhelmingly busy point tutor excellent academically personal support bit lack su largely irrelevant student life good attractive building fairly well maintain bit expensive huge range necessarily time commit couple though,accommodation location teaching facility high standard intense busy point tutor personal support bit su irrelevant life good attractive building bit expensive huge range time couple though,oxford
4.0,4.0,4.0,4.0,3.0,,4.0,4.0,5.0,5.0,Rhys,24 Jan 20,Mathematics MMath," Overall very happy, just things here and there to be improved. Decent amount of career events available to attend 10 Very good all round Mental health help can be lacking. Generally good, but don't hear much about them Accommodation can need a cost of maintenance but issues are quickly fixed Extremely central location Pretty much any sport, society is available",overall happy thing improve decent amount career event available attend good round mental health help lack generally good n't hear much accommodation need cost maintenance issue quickly fix extremely central location pretty much sport society available,overall happy thing decent amount career event available good mental health help good much accommodation cost maintenance issue central location pretty much sport society available,oxford
4.0,5.0,3.0,4.0,4.0,,2.0,5.0,5.0,5.0,Jenny,24 Jan 20,Mathematics MMath," 10 Mostly really great and lots of renovations always improve things Lots of personal support offered, and college academic support is great, but university/department tutors are less so. Colleges pay way too much to the SU for not much return. Personally, have never attended any SU events and don't know what it does. Don't know anyone involved or who has been to anything they've run. Good LGBTQ+ support though. Very central and good accommodation convenient to have college provided rooms for the whole degree length Heaps of different options + always able to star something new both in college and in the uni.",mostly really great lot renovation always improve thing lot personal support offer college academic support great university/department tutor less college pay way much su much return personally never attend su event n't know n't know anyone involve anything 've run good lgbtq+ support central good accommodation convenient college provide room whole degree length heap different option + always able star something new college uni,mostly great lot renovation thing lot personal support college academic support great university/department tutor college way much su much return su event anyone anything good lgbtq+ support central good accommodation convenient college room whole degree length heap different option able something new college uni,oxford
