score_OVERALL UNIVERSITY RATING,score_Job Prospects,score_Course and Lecturers,score_Uni Facilities,score_Student Support,score_Do you think your time at university this year has been value for money?,score_Students' Union,score_Accommodation,score_Local life,score_Societies and Sports,name,date,degree,reviews
rat1,rat5,rat4,rat5,rat2,ratN,,,,,Paulomi,26 May 21,Civil Engineering MEng (Hons), This year I gave a very low rating because of coronavirus. I felt the level of teaching was nowhere near what it needed to be especially in a practical subject such as engineering. I felt unprepared especially after an online term 3 last year and my mental health definitely suffered at various points throughout the year. I felt that the overall experience was not indicative of the £9250 spent towards it not even including living costs. School of engineering specific is very good with a placement officer. Not sure about rest of the university 20 They are available but many feel they are more for university quotas than helping students. No
rat4,rat3,rat4,rat4,rat3,ratN,,,,,Lucy,26 May 21,Hispanic Studies and French BA (Hons)," Having been online, the university experience was very isolating. However, my department offered lots of support and events which I found really beneficial. Also, despite not having access to the library since I was working away from campus, there was still lots of online resources which I found very useful. 8 No"
rat3,rat5,rat3,rat4,rat3,ratN,,,,,Meera,26 May 21,History BA (Hons)," I think in certain areas Warwick are very good - eg their careers services. But other areas they fall down on. They claim to champion well-being, but I don’t think many people (especially first years) know all the avenues available to them, and I know some people who have had terrible experiences going to these services. They also routinely fail to listen to the student body, ignoring many protests and votes. My experience this year hasn’t been great, but that’s mainly due to the pandemic and not being able to go out, which isn’t the uni’s fault. 6 No"
rat4,rat5,rat5,rat4,rat2,ratN,,,,,Violette,26 May 21,Film Studies BA (Hons)," I really enjoyed my time on campus, and even being online at home.
Warwick is an amazing university, the campus is lovely and the Film course is incredible.
However, the university has to improve its wellbeing services and has to revise it’s policies concerning security on campus and establish a zero-tolerance policy regarding sexual harassment and assault. This concerns a lot of universities and is not being talked about enough. Being a woman, I deserve the right to feel safe on my campus. 
Moreover, I think the university could have offered more than a rent waiver in regards to the covid situation and the numerous opportunities we didn’t get this year. The university sends invites to forums and links to webpages every week. However, as I am in first year I wouldn’t know too much about this. 5 The facilities are overall very nice and clean. Wellbeing services are overwhelmed and probably understaffed as the access to in-person or one-on-one meetings is incredibly limited. There is a month-long waitlist (at least) for any appointment which is considerably too much. No"
rat4,rat4,rat4,rat4,rat4,ratN,,,,,Lauren,25 May 21,French Studies BA (Hons)," Overall my experience has been good. I received personal and mental health support when I needed it. My course has been well taught and I have lecturers who actually care I have had emails about jobs, invited to seminars and used the careers services 9 Facilities are good but more study space is always needed Mental health support has always been accessible No"
rat3,rat4,rat4,rat4,rat3,ratN,,,,,T,25 May 21,"Philosophy, Politics and Economics (PPE) BA (Hons)/BSc (Hons)"," It was a mixed bag year, to say the least. I think the pandemic took away a lot, while adding an additional burden in terms of mental stress and inability to offload that. Had the opportunity to engage with some stimulating academic content, nonetheless, and developed a closer bond with my housemates. The university is great for job prospects; there are resources available from societies as well as the university’s careers service. 12 Facilities are really good, in terms of availability (even now with Covid) and in terms of study spaces. Can’t say how undergrad accommodation on campus is right now, but I liked living on campus in first year. I have not heard great things about the university’s mental health services, although I do know they have taken steps to make it more available to all. I do think there are arrangements made for people with disabilities, but I cannot fully comment on the nature/quality of the same. No"
rat4,rat5,rat4,rat5,rat3,ratN,,,,,Jaime,25 May 21,"Mathematics, Operational Research, Statistics and Economics (MORSE) MMorse"," Obviously, Covid has limited all kinds of possibilities but, of course, this is not the institution's fault and overall it has been a very fun experience. I would give it five stars but some departments have shown that more in person contact hours were possible and not taken by some departments, which put a strain on our learning and overall experience. I receive university emails about internship fairs and student research programs weekly. 9 I have been amazed by the facilities at Warwick, truly. When I arrived on campus I wandered around it for days. As far as my needs have gone, there has been a support office available for all of them. However, they have sometimes been somewhat slow to respond. No"
rat4,rat5,rat4,rat5,rat4,ratY,,,,,Lucy,10 May 21,History and Politics BA (Hons)," This academic year has obviously been somewhat challenging due to the ongoing situation. However I have really enjoyed all my seminars this year, and have felt supported most of the time. Career support is excellent at Warwick. 8 The majority of facilities are modern and put together. The university is currently building a new humanities building ready for this September, which will be a great facility for students. The support offered is pretty good, but I would say there are definitely a few underfunding issues in terms of mental health support. Yes"
rat4,rat5,rat4,rat5,rat2,ratN,,,,,Max,09 May 21,Cyber Security BSc (Hons), I believe that the university is great. Great facilities great gym and a great course. However covid has been a major impact to all students whilst studying at university not just Warwick 1620 No
rat4,rat5,rat4,rat4,rat3,ratN,,,,,Bunny,06 May 21,Mathematics and Statistics BSc (Hons)," No doubt the pandemic will have had a role in reducing the full range of access to support and facilties from all parts of the University and subsequently reduce this year's university experience especially with the lack of face to face teaching of lectures and seminars, however the ability to interact with personal & course tutors together with the chance of meeting new people and still be able to access the limited range of services was a great experience that I wouldn't change for anything. They constantly hold career talks and advice and even internship opportunities for all students through out the academic year so that you can be well informed on what you plan on doing next after university. The help and the interaction from tutors is satisfactory, but the online format can be difficult and frustrating at times if you don't understand something or need to ask a question. Due to covid we obviously haven't been able to have access to the full range of facilities the university has to offer but the limited range. However this on its own has been useful so I have no doubt that the full range would been even more helpful. Its hard to quantify this because not everyone has used or accessed these facilties before and its been even harder during covid. So to what extent personal support has been impacted by covid is still yet to be seen, but the help I received was adequate, but it wasn't always easy and sometimes stressful getting the access to those personal support facilities. No"
rat1,rat5,rat4,rat5,rat2,ratN,,,,,Paulomi,26 May 21,Civil Engineering MEng (Hons), This year I gave a very low rating because of coronavirus. I felt the level of teaching was nowhere near what it needed to be especially in a practical subject such as engineering. I felt unprepared especially after an online term 3 last year and my mental health definitely suffered at various points throughout the year. I felt that the overall experience was not indicative of the £9250 spent towards it not even including living costs. School of engineering specific is very good with a placement officer. Not sure about rest of the university 20 They are available but many feel they are more for university quotas than helping students. No
rat4,rat3,rat4,rat4,rat3,ratN,,,,,Lucy,26 May 21,Hispanic Studies and French BA (Hons)," Having been online, the university experience was very isolating. However, my department offered lots of support and events which I found really beneficial. Also, despite not having access to the library since I was working away from campus, there was still lots of online resources which I found very useful. 8 No"
rat3,rat5,rat3,rat4,rat3,ratN,,,,,Meera,26 May 21,History BA (Hons)," I think in certain areas Warwick are very good - eg their careers services. But other areas they fall down on. They claim to champion well-being, but I don’t think many people (especially first years) know all the avenues available to them, and I know some people who have had terrible experiences going to these services. They also routinely fail to listen to the student body, ignoring many protests and votes. My experience this year hasn’t been great, but that’s mainly due to the pandemic and not being able to go out, which isn’t the uni’s fault. 6 No"
rat4,rat5,rat5,rat4,rat2,ratN,,,,,Violette,26 May 21,Film Studies BA (Hons)," I really enjoyed my time on campus, and even being online at home.
Warwick is an amazing university, the campus is lovely and the Film course is incredible.
However, the university has to improve its wellbeing services and has to revise it’s policies concerning security on campus and establish a zero-tolerance policy regarding sexual harassment and assault. This concerns a lot of universities and is not being talked about enough. Being a woman, I deserve the right to feel safe on my campus. 
Moreover, I think the university could have offered more than a rent waiver in regards to the covid situation and the numerous opportunities we didn’t get this year. The university sends invites to forums and links to webpages every week. However, as I am in first year I wouldn’t know too much about this. 5 The facilities are overall very nice and clean. Wellbeing services are overwhelmed and probably understaffed as the access to in-person or one-on-one meetings is incredibly limited. There is a month-long waitlist (at least) for any appointment which is considerably too much. No"
rat4,rat4,rat4,rat4,rat4,ratN,,,,,Lauren,25 May 21,French Studies BA (Hons)," Overall my experience has been good. I received personal and mental health support when I needed it. My course has been well taught and I have lecturers who actually care I have had emails about jobs, invited to seminars and used the careers services 9 Facilities are good but more study space is always needed Mental health support has always been accessible No"
rat3,rat4,rat4,rat4,rat3,ratN,,,,,T,25 May 21,"Philosophy, Politics and Economics (PPE) BA (Hons)/BSc (Hons)"," It was a mixed bag year, to say the least. I think the pandemic took away a lot, while adding an additional burden in terms of mental stress and inability to offload that. Had the opportunity to engage with some stimulating academic content, nonetheless, and developed a closer bond with my housemates. The university is great for job prospects; there are resources available from societies as well as the university’s careers service. 12 Facilities are really good, in terms of availability (even now with Covid) and in terms of study spaces. Can’t say how undergrad accommodation on campus is right now, but I liked living on campus in first year. I have not heard great things about the university’s mental health services, although I do know they have taken steps to make it more available to all. I do think there are arrangements made for people with disabilities, but I cannot fully comment on the nature/quality of the same. No"
rat4,rat5,rat4,rat5,rat3,ratN,,,,,Jaime,25 May 21,"Mathematics, Operational Research, Statistics and Economics (MORSE) MMorse"," Obviously, Covid has limited all kinds of possibilities but, of course, this is not the institution's fault and overall it has been a very fun experience. I would give it five stars but some departments have shown that more in person contact hours were possible and not taken by some departments, which put a strain on our learning and overall experience. I receive university emails about internship fairs and student research programs weekly. 9 I have been amazed by the facilities at Warwick, truly. When I arrived on campus I wandered around it for days. As far as my needs have gone, there has been a support office available for all of them. However, they have sometimes been somewhat slow to respond. No"
rat4,rat5,rat4,rat5,rat4,ratY,,,,,Lucy,10 May 21,History and Politics BA (Hons)," This academic year has obviously been somewhat challenging due to the ongoing situation. However I have really enjoyed all my seminars this year, and have felt supported most of the time. Career support is excellent at Warwick. 8 The majority of facilities are modern and put together. The university is currently building a new humanities building ready for this September, which will be a great facility for students. The support offered is pretty good, but I would say there are definitely a few underfunding issues in terms of mental health support. Yes"
rat4,rat5,rat4,rat5,rat2,ratN,,,,,Max,09 May 21,Cyber Security BSc (Hons), I believe that the university is great. Great facilities great gym and a great course. However covid has been a major impact to all students whilst studying at university not just Warwick 1620 No
rat4,rat5,rat4,rat4,rat3,ratN,,,,,Bunny,06 May 21,Mathematics and Statistics BSc (Hons)," No doubt the pandemic will have had a role in reducing the full range of access to support and facilties from all parts of the University and subsequently reduce this year's university experience especially with the lack of face to face teaching of lectures and seminars, however the ability to interact with personal & course tutors together with the chance of meeting new people and still be able to access the limited range of services was a great experience that I wouldn't change for anything. They constantly hold career talks and advice and even internship opportunities for all students through out the academic year so that you can be well informed on what you plan on doing next after university. The help and the interaction from tutors is satisfactory, but the online format can be difficult and frustrating at times if you don't understand something or need to ask a question. Due to covid we obviously haven't been able to have access to the full range of facilities the university has to offer but the limited range. However this on its own has been useful so I have no doubt that the full range would been even more helpful. Its hard to quantify this because not everyone has used or accessed these facilties before and its been even harder during covid. So to what extent personal support has been impacted by covid is still yet to be seen, but the help I received was adequate, but it wasn't always easy and sometimes stressful getting the access to those personal support facilities. No"
